word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
peloton,cr loanword,0,0,0.002,0.004,0.006,0.006,0.006,0.006,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.01,0.01,0.01,0.01,0.012,0.012,0.012,0.012,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.016,0.016,0.016,0.016,0.016,0.018,0.018,0.018,0.02,0.02
proletariat,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rendezvous,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salon,cr loanword,0,0.004,0.004,0.006,0.006,0.006,0.008,0.01,0.01,0.01,0.01,0.012,0.012,0.012,0.012,0.012,0.02,0.024,0.024,0.024,0.024,0.024,0.024,0.026,0.026,0.026,0.028,0.028,0.028,0.03,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.032,0.034,0.034,0.034,0.036,0.036,0.038,0.038,0.042,0.044,0.044
beige,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brochure,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cafe,fr-en loanword,0,0.05511811,0.092519685,0.112204724,0.133858268,0.153543307,0.173228346,0.179133858,0.187007874,0.196850394,0.202755906,0.218503937,0.228346457,0.234251969,0.234251969,0.238188976,0.253937008,0.273622047,0.285433071,0.299212598,0.311023622,0.312992126,0.326771654,0.330708661,0.334645669,0.338582677,0.346456693,0.354330709,0.36023622,0.366141732,0.37007874,0.377952756,0.381889764,0.381889764,0.385826772,0.38976378,0.401574803,0.405511811,0.409448819,0.413385827,0.415354331,0.419291339,0.419291339,0.421259843,0.42519685,0.42519685,0.427165354,0.427165354,0.433070866,0.437007874
camaraderie,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clique,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concierge,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coup,fr-en loanword,0,0.019880716,0.035785288,0.053677932,0.057654076,0.069582505,0.083499006,0.095427435,0.109343936,0.119284294,0.135188867,0.153081511,0.161033797,0.166998012,0.168986083,0.170974155,0.180914513,0.188866799,0.198807157,0.2027833,0.210735586,0.216699801,0.226640159,0.228628231,0.234592445,0.234592445,0.24055666,0.244532803,0.252485089,0.256461233,0.256461233,0.260437376,0.268389662,0.272365805,0.274353877,0.27833002,0.286282306,0.290258449,0.290258449,0.292246521,0.294234592,0.298210736,0.300198807,0.30417495,0.310139165,0.314115308,0.318091451,0.322067594,0.324055666,0.326043738
detour,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elite,fr-en loanword,0,0.003992016,0.003992016,0.00998004,0.011976048,0.011976048,0.011976048,0.017964072,0.023952096,0.027944112,0.027944112,0.02994012,0.02994012,0.031936128,0.037924152,0.041916168,0.045908184,0.047904192,0.051896208,0.055888224,0.05988024,0.05988024,0.063872255,0.075848303,0.077844311,0.079840319,0.083832335,0.085828343,0.087824351,0.095808383,0.101796407,0.109780439,0.111776447,0.111776447,0.113772455,0.117764471,0.117764471,0.117764471,0.119760479,0.127744511,0.129740519,0.133732535,0.139720559,0.143712575,0.147704591,0.147704591,0.151696607,0.153692615,0.155688623,0.157684631
ensemble,fr-en loanword,0,0.023762376,0.045544554,0.061386139,0.075247525,0.093069307,0.108910891,0.120792079,0.126732673,0.134653465,0.144554455,0.156435644,0.158415842,0.162376238,0.17029703,0.174257426,0.176237624,0.178217822,0.182178218,0.184158416,0.192079208,0.192079208,0.194059406,0.203960396,0.211881188,0.215841584,0.217821782,0.223762376,0.22970297,0.23960396,0.23960396,0.247524752,0.247524752,0.24950495,0.261386139,0.271287129,0.273267327,0.279207921,0.283168317,0.285148515,0.287128713,0.287128713,0.291089109,0.295049505,0.297029703,0.300990099,0.306930693,0.310891089,0.318811881,0.320792079
etiquette,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
