word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
fine,fr-en loanword,0,0.015904573,0.023856859,0.029158383,0.035122598,0.038701127,0.040689198,0.041541229,0.042535265,0.042756161,0.043750197,0.043750197,0.044247215,0.044706001,0.045132016,0.045529631,0.045778139,0.04601203,0.046232927,0.046442198,0.046541601,0.046636271,0.046726638,0.046813076,0.047061585,0.047220631,0.047526488,0.04760012,0.047671123,0.047876785,0.047943055,0.048135449,0.048197576,0.048318065,0.04843501,0.048605416,0.048715865,0.048769597,0.048769597,0.048769597,0.048819298,0.048916277,0.048963612,0.049009847,0.04905503,0.049187568,0.049187568,0.049314466,0.049355885,0.049477603
foyer,fr-en loanword,0,0,0.001,0.001,0.0015,0.0015,0.001833333,0.002119048,0.002119048,0.002119048,0.002319048,0.002682684,0.003016017,0.003477556,0.003477556,0.003610889,0.003610889,0.003610889,0.004166445,0.004166445,0.004266445,0.004361683,0.004361683,0.004448639,0.004531973,0.004611973,0.004611973,0.004611973,0.004969115,0.005107047,0.005173713,0.005238229,0.005238229,0.005298835,0.005298835,0.005298835,0.005465502,0.005465502,0.005465502,0.005516784,0.005566784,0.005615565,0.005663184,0.005709695,0.00575515,0.005844039,0.005887517,0.005972623,0.006055957,0.006055957
naive,fr-en loanword,0,0.004,0.006,0.008,0.008,0.008,0.008666667,0.009238095,0.009738095,0.009960317,0.010360317,0.010542136,0.010542136,0.010695982,0.010981696,0.010981696,0.010981696,0.011099343,0.011099343,0.011309869,0.011409869,0.011409869,0.011500779,0.011674692,0.011674692,0.011754692,0.011754692,0.011828766,0.011828766,0.011828766,0.011828766,0.011893282,0.011893282,0.011893282,0.011952105,0.011952105,0.012007661,0.012061715,0.012061715,0.012061715,0.012061715,0.012061715,0.012109334,0.012109334,0.012154789,0.012154789,0.012154789,0.012197342,0.012239008,0.012279825
nuance,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
physique,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rapport,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reservoir,fr-en loanword,0,0,0.000998004,0.002328676,0.00332668,0.00332668,0.003659348,0.004229636,0.004479137,0.004700916,0.004900516,0.005263427,0.005596095,0.005749634,0.005749634,0.006015768,0.006140519,0.006140519,0.006251408,0.006356461,0.006456262,0.006646358,0.006646358,0.006646358,0.006729525,0.006729525,0.007036603,0.007184455,0.007327027,0.007327027,0.007593162,0.007721936,0.007784312,0.007905282,0.008022694,0.008136752,0.008136752,0.008136752,0.008189278,0.008291638,0.008291638,0.008291638,0.008386686,0.008433104,0.008478468,0.008478468,0.00852186,0.008606796,0.008689963,0.008730698
fire,non borrowed word,0,0.083003953,0.104743083,0.113306983,0.118247694,0.123386034,0.125032938,0.126726896,0.127715039,0.1283738,0.128571429,0.129290078,0.130607601,0.131671754,0.132095243,0.132622253,0.133239842,0.133472346,0.133582139,0.133582139,0.13407621,0.134170319,0.134529644,0.134873345,0.135038036,0.135196138,0.135500182,0.135866161,0.135936742,0.136413777,0.136545529,0.136800533,0.13698581,0.137165472,0.13733985,0.13733985,0.137559438,0.137666264,0.137770279,0.137922301,0.138169336,0.138217538,0.138311647,0.138311647,0.138311647,0.138399482,0.138399482,0.138525628,0.138525628,0.138606292
nose,non borrowed word,0,0.024,0.033,0.038333333,0.043833333,0.046233333,0.046566667,0.047709524,0.049959524,0.051959524,0.053559524,0.054832251,0.055832251,0.056601482,0.056601482,0.057134815,0.057259815,0.057377462,0.057488573,0.058330679,0.058530679,0.059006869,0.059370505,0.059631375,0.059881375,0.060201375,0.060355221,0.060651517,0.060865803,0.060934769,0.061201435,0.061265952,0.061390952,0.061512164,0.061570987,0.061742416,0.061742416,0.061850524,0.061955787,0.061955787,0.062005787,0.062054567,0.062149806,0.062242829,0.062288283,0.062421617,0.062421617,0.06246417,0.06246417,0.062627435
water,non borrowed word,0,0.138,0.177,0.192333333,0.199833333,0.205833333,0.208833333,0.210547619,0.212797619,0.214797619,0.215397619,0.21630671,0.217473377,0.218704146,0.219275574,0.219808908,0.220183908,0.220536849,0.220759071,0.221495913,0.222295913,0.222676866,0.222949593,0.223123506,0.223373506,0.223693506,0.223924275,0.224442794,0.224442794,0.224718656,0.224918656,0.225047688,0.225360188,0.225360188,0.225536659,0.22576523,0.225820786,0.225982948,0.226140843,0.226140843,0.226290843,0.226534745,0.226629983,0.226676495,0.226858313,0.226947202,0.227077637,0.227205296,0.227330296,0.227330296
