word,word_type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
gite,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jongleur,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lycée,cr loanword,0,0.199203187,0.278884462,0.342629482,0.380478088,0.408366534,0.426294821,0.430278884,0.446215139,0.460159363,0.472111554,0.476095618,0.480079681,0.480079681,0.490039841,0.5,0.511952191,0.511952191,0.523904382,0.529880478,0.539840637,0.543824701,0.545816733,0.549800797,0.553784861,0.557768924,0.565737052,0.569721116,0.573705179,0.577689243,0.581673307,0.583665339,0.583665339,0.591633466,0.591633466,0.593625498,0.597609562,0.601593625,0.603585657,0.605577689,0.609561753,0.609561753,0.609561753,0.611553785,0.611553785,0.615537849,0.615537849,0.615537849,0.621513944,0.623505976
peloton,cr loanword,0,0.013888889,0.043650794,0.051587302,0.067460317,0.083333333,0.103174603,0.113095238,0.117063492,0.123015873,0.128968254,0.136904762,0.138888889,0.14484127,0.148809524,0.152777778,0.158730159,0.158730159,0.170634921,0.176587302,0.182539683,0.182539683,0.18452381,0.18452381,0.18452381,0.19047619,0.194444444,0.198412698,0.202380952,0.204365079,0.21031746,0.218253968,0.218253968,0.218253968,0.222222222,0.224206349,0.228174603,0.23015873,0.23015873,0.232142857,0.234126984,0.240079365,0.246031746,0.248015873,0.25,0.251984127,0.253968254,0.255952381,0.259920635,0.263888889
proletariat,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rendezvous,cr loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salon,cr loanword,0,0.003984064,0.033864542,0.049800797,0.065737052,0.081673307,0.093625498,0.105577689,0.111553785,0.121513944,0.135458167,0.14940239,0.151394422,0.153386454,0.165338645,0.169322709,0.175298805,0.185258964,0.189243028,0.193227092,0.199203187,0.203187251,0.205179283,0.211155378,0.215139442,0.217131474,0.219123506,0.233067729,0.235059761,0.241035857,0.243027888,0.24501992,0.247011952,0.250996016,0.25498008,0.256972112,0.258964143,0.260956175,0.266932271,0.27689243,0.27689243,0.27689243,0.280876494,0.282868526,0.284860558,0.288844622,0.294820717,0.294820717,0.300796813,0.304780876
beige,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
brochure,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cafe,fr-en loanword,0,0.048,0.076,0.094,0.108,0.12,0.134,0.142,0.16,0.17,0.172,0.176,0.178,0.188,0.194,0.21,0.212,0.216,0.22,0.226,0.23,0.24,0.25,0.252,0.264,0.266,0.266,0.272,0.272,0.278,0.29,0.294,0.296,0.3,0.306,0.308,0.31,0.31,0.316,0.326,0.33,0.332,0.334,0.342,0.346,0.35,0.354,0.356,0.356,0.356
camaraderie,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clique,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concierge,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coup,fr-en loanword,0,0.108,0.154,0.176,0.21,0.23,0.262,0.28,0.296,0.312,0.328,0.338,0.352,0.362,0.366,0.374,0.382,0.394,0.4,0.408,0.41,0.418,0.426,0.43,0.436,0.436,0.444,0.444,0.456,0.466,0.472,0.476,0.48,0.488,0.488,0.492,0.494,0.494,0.496,0.498,0.5,0.51,0.514,0.52,0.522,0.526,0.534,0.536,0.54,0.542
detour,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elite,fr-en loanword,0,0,0.001996008,0.001996008,0.001996008,0.005988024,0.007984032,0.007984032,0.00998004,0.011976048,0.011976048,0.01996008,0.021956088,0.021956088,0.021956088,0.025948104,0.025948104,0.027944112,0.027944112,0.031936128,0.031936128,0.031936128,0.033932136,0.037924152,0.037924152,0.037924152,0.037924152,0.03992016,0.043912176,0.043912176,0.045908184,0.045908184,0.045908184,0.045908184,0.047904192,0.0499002,0.051896208,0.051896208,0.055888224,0.057884232,0.057884232,0.057884232,0.05988024,0.05988024,0.05988024,0.061876248,0.063872255,0.063872255,0.063872255,0.063872255
ensemble,fr-en loanword,0,0.033138402,0.064327485,0.074074074,0.091617934,0.101364522,0.113060429,0.1208577,0.130604288,0.142300195,0.144249513,0.152046784,0.157894737,0.161793372,0.171539961,0.18128655,0.185185185,0.187134503,0.192982456,0.192982456,0.194931774,0.20662768,0.210526316,0.220272904,0.235867446,0.239766082,0.245614035,0.253411306,0.261208577,0.26705653,0.26705653,0.270955166,0.274853801,0.278752437,0.282651072,0.28460039,0.28460039,0.286549708,0.292397661,0.296296296,0.300194932,0.307992203,0.307992203,0.307992203,0.30994152,0.313840156,0.315789474,0.321637427,0.331384016,0.333333333
etiquette,fr-en loanword,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
