word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
detente,"[0.5672995, 0.53059685, 0.50472975, 0.49729255, 0.43503308, 0.44926506, 0.42440698, 0.41407266, 0.41485897]","[12227.978515625, 6409.78857421875, 4057.18359375, 3038.19873046875, 2514.332763671875]",[0.16169806 0.16644412 0.17180861 ... 0.32310838 0.33769203 0.15292569],0.08717084019940786,0.2611063236371206
ennui,"[0.6189115, 0.39132866, 0.42402345, 0.37106025, 0.36977118, 0.37897345, 0.38044348, 0.37976694, 0.3710758]","[10124.904296875, 6494.1259765625, 4287.966796875, 3607.844482421875, 3020.6474609375]",[0.22291819 0.16220319 0.34876066 ... 0.26372979 0.30116499 0.18140041],0.0974938447053352,0.25090084919393396
faux pas,"[0.5443109, 0.4025244, 0.42851385, 0.4006062, 0.41049957, 0.41321698, 0.3967006, 0.38926184, 0.37994382]","[10421.83984375, 6928.5439453125, 4398.2333984375, 3556.246826171875, 2943.888427734375]",[0.19483905 0.19982258 0.16879984 ... 0.20928484 0.24464302 0.08126941],0.07920364875884298,0.2059839746611195
fete,"[0.41564414, 0.51305115, 0.41848636, 0.44368094, 0.39245442, 0.39147264, 0.39359725, 0.4030698, 0.41141286]","[11611.380859375, 5945.46044921875, 4690.234375, 3556.561279296875, 2890.818359375]",[0.1966535  0.13419934 0.22631695 ... 0.27718177 0.27699587 0.03539806],0.08404461686027608,0.26937255712414215
fin de siecle,"[0.42344892, 0.36186442, 0.35571435, 0.33637363, 0.35934642, 0.3539059, 0.36431962, 0.37622845, 0.37816688]","[3359.690673828125, 2292.30419921875, 1698.376220703125, 1426.166015625, 1151.3193359375]",[0.09942677 0.14452906 0.1672479  ... 0.18899479 0.11776755 0.16828706],0.0587833165595339,0.18549682910116314
gite,"[0.6147399, 0.7002478, 0.6348761, 0.60989356, 0.6188897, 0.58540404, 0.50401783, 0.4979618, 0.46112508]","[11338.5234375, 5060.5166015625, 3148.3818359375, 2093.023193359375, 1554.7647705078125]",[0.20368518 0.20368518 0.20368518 ... 0.         0.10194621 0.10194621],0.10035703584512998,0.20145351025651134
jongleur,"[0.57821006, 0.55513895, 0.5829395, 0.5679068, 0.5661465, 0.57919484, 0.54431224, 0.58529073, 0.53208727]","[2184.24853515625, 1099.3985595703125, 631.4647216796875, 514.5934448242188, 406.153564453125]",[0.1576723  0.1757766  0.24348612 ... 0.1736054  0.34325629 0.25640534],0.07443929395294707,0.20107933536182024
lycee,"[0.4569998, 0.4494403, 0.4007404, 0.4034853, 0.39570782, 0.396036, 0.39112714, 0.38021013, 0.3983864]","[11226.7333984375, 6518.86669921875, 5207.830078125, 4080.23974609375, 3403.17431640625]",[0.27936396 0.25595816 0.31679038 ... 0.02441959 0.21992421 0.20539705],0.06940460491163121,0.23051310838671935
peloton,"[0.5430317, 0.6528102, 0.53240895, 0.5293118, 0.544752, 0.50586003, 0.5170039, 0.523748, 0.51965576]","[15580.7568359375, 5843.6337890625, 4178.26220703125, 2883.04931640625, 2217.791259765625]",[0.09826987 0.09826987 0.0788384  ... 0.1753192  0.16211563 0.05915272],0.07717741624576147,0.20518321645312224
proletariat,"[0.49021512, 0.42824602, 0.38339153, 0.35549885, 0.36063716, 0.35240626, 0.37390217, 0.37385872, 0.38025618]","[6506.2783203125, 4107.82275390625, 2906.8095703125, 2367.125732421875, 1923.5784912109375]",[0.09257622 0.11503074 0.16965945 ... 0.10170546 0.14574025 0.07891886],0.06120325550306107,0.1903875836925864
rendezvous,"[0.57038397, 0.42125997, 0.4219683, 0.41419572, 0.41390175, 0.39996588, 0.38471913, 0.3807694, 0.37906945]","[7209.7060546875, 4923.375, 3513.57568359375, 2702.99365234375, 2249.95361328125]",[0.14236356 0.2135598  0.2026829  ... 0.15122886 0.22635561 0.16621318],0.06954847994982,0.23924193971177146
gite,"[0.61473966, 0.7002478, 0.6348761, 0.60989356, 0.61888975, 0.58540404, 0.50401795, 0.4979619, 0.4611248]","[11338.529296875, 5060.515625, 3148.380859375, 2093.02294921875, 1554.7645263671875]",[0.20368518 0.20368518 0.20368518 ... 0.         0.10194621 0.10194621],0.10035703584512998,0.20145351025651134
jongleur,"[0.5782104, 0.55513835, 0.5829386, 0.56790614, 0.5661463, 0.57919544, 0.5443105, 0.5852905, 0.532086]","[2184.24658203125, 1099.399169921875, 631.4658203125, 514.594482421875, 406.1539306640625]",[0.1576723  0.1757766  0.24348612 ... 0.1736054  0.34325629 0.25640534],0.07443929395294707,0.20107933536182024
lycee,"[0.457, 0.44944024, 0.40074036, 0.40348536, 0.39570776, 0.39603594, 0.39112702, 0.38021016, 0.39838636]","[11226.7265625, 6518.86376953125, 5207.828125, 4080.23779296875, 3403.174072265625]",[0.27936396 0.25595816 0.31679038 ... 0.02441959 0.21992421 0.20539705],0.06940460491163121,0.23051310838671935
peloton,"[0.5430317, 0.65281016, 0.5324089, 0.5293118, 0.544752, 0.50586003, 0.5170039, 0.523748, 0.5196557]","[15580.75390625, 5843.63427734375, 4178.2626953125, 2883.04931640625, 2217.790771484375]",[0.09826987 0.09826987 0.0788384  ... 0.1753192  0.16211563 0.05915272],0.07717741624576147,0.20518321645312224
proletariat,"[0.49021512, 0.42824626, 0.3833918, 0.35549903, 0.36063728, 0.35240632, 0.37390223, 0.37385908, 0.38025656]","[6506.27783203125, 4107.82373046875, 2906.80908203125, 2367.1259765625, 1923.5787353515625]",[0.09257622 0.11503074 0.16965945 ... 0.10170546 0.14574025 0.07891886],0.06120325550306107,0.1903875836925864
rendezvous,"[0.5703845, 0.4212629, 0.4219633, 0.41419202, 0.41390127, 0.39996853, 0.38472345, 0.38077062, 0.37906948]","[7209.7041015625, 4923.32958984375, 3513.59033203125, 2702.99658203125, 2249.95068359375]",[0.14236356 0.2135598  0.2026829  ... 0.15122886 0.22635561 0.16621318],0.06954847994982,0.23924193971177146
aplomb,"[0.5122303, 0.43532616, 0.45146927, 0.4163073, 0.40720683, 0.40467906, 0.40379336, 0.39436737, 0.38941053]","[8431.458984375, 5042.8232421875, 3560.28466796875, 2817.1337890625, 2167.35888671875]",[0.09348378 0.10999118 0.2397261  ... 0.08306909 0.47085916 0.48103009],0.07954322994464302,0.20788306279613838
beige,"[0.539855, 0.48501688, 0.42653844, 0.43226108, 0.42461687, 0.4193213, 0.38709626, 0.39716822, 0.40457168]","[12004.3623046875, 7456.3046875, 5371.26171875, 4055.558349609375, 3131.048828125]",[0.10230518 0.11648753 0.09865713 ... 0.25039616 0.33523911 0.085452  ],0.09664218295143147,0.23671022618661863
brochure,"[0.57445556, 0.62024194, 0.54775244, 0.48784366, 0.4509609, 0.45240906, 0.429716, 0.43298048, 0.43534905]","[9400.4521484375, 4833.154296875, 2896.572265625, 2220.719482421875, 1833.26904296875]",[0.13102225 0.07766775 0.03875954 ... 0.22404964 0.36782653 0.21505962],0.09400665524495357,0.221219195163834
cafe,"[0.46521363, 0.41575256, 0.38662806, 0.38112232, 0.36095825, 0.37351453, 0.39372504, 0.3907661, 0.39963102]","[9090.6708984375, 5821.76318359375, 4428.810546875, 3618.068359375, 3065.0888671875]",[0.12146699 0.14714356 0.19347251 ... 0.03253573 0.05272387 0.0393573 ],0.06838467373597153,0.23442592715913707
camaraderie,"[0.49988806, 0.4014646, 0.40241912, 0.37797442, 0.38862205, 0.38130528, 0.38412914, 0.38489836, 0.38144282]","[6271.48876953125, 4114.28759765625, 2790.395263671875, 2241.3701171875, 1795.066162109375]",[0.10414866 0.12275921 0.09606535 ... 0.12074473 0.13058478 0.1492666 ],0.0631328283424986,0.19767246252201137
cliche,"[0.4131661, 0.38700587, 0.3810929, 0.37348798, 0.37078398, 0.37503153, 0.36858863, 0.36848408, 0.38063425]","[7952.92138671875, 5137.56640625, 3961.253173828125, 3013.867919921875, 2538.4287109375]",[0.15377099 0.21019645 0.17401887 ... 0.20435034 0.18438611 0.17654977],0.05899136159989097,0.22485772061482542
clique,"[0.5207758, 0.48758107, 0.42499253, 0.41964164, 0.39064837, 0.40355676, 0.41542378, 0.41281903, 0.41471326]","[11946.162109375, 7811.4345703125, 5694.1708984375, 4526.0986328125, 3814.704833984375]",[0.23132882 0.31099318 0.22927252 ... 0.33064311 0.29267479 0.07824243],0.08631795445380444,0.2890582604724488
concierge,"[0.5989753, 0.43273145, 0.45250756, 0.43973383, 0.43352723, 0.41210556, 0.38547215, 0.3937835, 0.3881486]","[6786.4541015625, 4578.5625, 3241.3359375, 2478.71435546875, 2072.326171875]",[0.14986788 0.16137823 0.19312794 ... 0.10062516 0.15581988 0.12865325],0.08667628799710439,0.2231783862880872
coup,"[0.52752995, 0.59967613, 0.54091066, 0.50270575, 0.5018144, 0.51959646, 0.51201135, 0.51604605, 0.5247424]","[16227.095703125, 7589.6611328125, 4861.9755859375, 3672.17431640625, 2844.924072265625]",[0.04207519 0.03298223 0.04207519 ... 0.24464643 0.18095959 0.20006577],0.12262947956952547,0.26943899333347027
debacle,"[0.4937321, 0.44742337, 0.42166504, 0.39343628, 0.397711, 0.3939082, 0.39543587, 0.38154784, 0.37047]","[7820.4580078125, 4497.11328125, 3194.10986328125, 2639.96826171875, 2116.60595703125]",[0.0542783  0.06813219 0.19257902 ... 0.1367216  0.12043532 0.0755365 ],0.059844061541809136,0.20389808161270825
detour,"[0.47414467, 0.38745332, 0.39583656, 0.38553193, 0.38459894, 0.36135286, 0.36374488, 0.35527292, 0.36269984]","[10043.1796875, 7115.97705078125, 4802.3037109375, 3920.78662109375, 3241.3720703125]",[0.31270257 0.34446411 0.34431144 ... 0.26465733 0.26612267 0.11360474],0.08062327454909946,0.2534923226228845
elite,"[0.41779456, 0.51636595, 0.39581752, 0.40539247, 0.38165715, 0.3927227, 0.39604676, 0.39605004, 0.41444695]","[16405.1953125, 8513.7138671875, 6012.568359375, 4333.67529296875, 3657.2978515625]",[0.076873   0.19279279 0.18469771 ... 0.21803232 0.2064106  0.15386796],0.09860960035400344,0.2875354320971026
ensemble,"[0.5221086, 0.6040672, 0.51734495, 0.46435884, 0.47252843, 0.43999317, 0.43191347, 0.44872838, 0.4260547]","[10670.3974609375, 5181.21728515625, 3284.654296875, 2635.957763671875, 2011.66357421875]",[0.28742378 0.3047613  0.31972432 ... 0.14346921 0.26971682 0.31389124],0.08479456414106606,0.29730768540317787
etiquette,"[0.6071343, 0.47476104, 0.44277358, 0.396998, 0.40382472, 0.40954787, 0.3875321, 0.39886132, 0.38218534]","[7902.1201171875, 4867.5009765625, 3933.2998046875, 3158.72216796875, 2472.76953125]",[0.1042979  0.21388862 0.22779204 ... 0.11856834 0.20011101 0.17908643],0.08230604710382733,0.24656405762855907
facade,"[0.41355675, 0.41075203, 0.42385146, 0.40604872, 0.3801852, 0.38209516, 0.3767576, 0.38590932, 0.38576564]","[10148.5712890625, 6784.9443359375, 4458.52392578125, 3431.557373046875, 2812.4072265625]",[0.14087297 0.19816221 0.19669851 ... 0.10644333 0.12308705 0.1204477 ],0.07877575677848189,0.2565716303454248
fine,"[0.34759745, 0.37553033, 0.39470765, 0.40596318, 0.41693798, 0.39613712, 0.38783193, 0.38663518, 0.3798641]","[16452.59765625, 10364.724609375, 7633.513671875, 5676.875, 4852.2431640625]",[0.19535748 0.32150049 0.36871759 ... 0.19740039 0.31594804 0.24839371],0.09764322363459393,0.3231546628567718
foyer,"[0.5003887, 0.41382176, 0.4137226, 0.38969854, 0.38365814, 0.40133318, 0.38810283, 0.37899256, 0.38456982]","[11101.234375, 7514.5703125, 4995.8212890625, 4107.13330078125, 3438.45458984375]",[0.26320273 0.24610316 0.24473967 ... 0.16200575 0.21887397 0.09085769],0.08133113222600168,0.26843190203465267
naive,"[0.3589276, 0.43537483, 0.37968183, 0.40636438, 0.41441166, 0.39378572, 0.39741787, 0.3782471, 0.38630965]","[10407.94921875, 5976.83203125, 4327.5146484375, 3077.25927734375, 2487.6044921875]",[0.16423308 0.15230427 0.14165002 ... 0.06767942 0.19464548 0.21395421],0.07381588229092806,0.20303688126687866
nuance,"[0.39547738, 0.50425375, 0.45215604, 0.4458228, 0.4150389, 0.40740308, 0.4262489, 0.40519726, 0.38844952]","[14566.51171875, 7060.4921875, 5418.09912109375, 4225.248046875, 3401.496826171875]",[0.21880147 0.28464501 0.27478316 ... 0.17909103 0.19480235 0.14981934],0.07681132914606366,0.27119447118575035
physique,"[0.45808926, 0.3943327, 0.37610236, 0.376159, 0.35115594, 0.364713, 0.368901, 0.3606568, 0.3700015]","[11989.4287109375, 7692.7919921875, 5762.865234375, 4501.7958984375, 3813.126953125]",[0.19962578 0.3096939  0.47499885 ... 0.2536264  0.22115629 0.2306173 ],0.07527228878424463,0.27439985841574666
ensemble,"[0.5221084, 0.60406774, 0.51734513, 0.46435913, 0.47252852, 0.43999332, 0.43191352, 0.44872627, 0.42605194]","[10670.400390625, 5181.2099609375, 3284.648193359375, 2635.95263671875, 2011.663818359375]",[0.28742378 0.3047613  0.31972432 ... 0.14346921 0.26971682 0.31389124],0.08479456414106606,0.29730768540317787
etiquette,"[0.6071343, 0.47476104, 0.44277373, 0.39699832, 0.40382516, 0.40954834, 0.38753223, 0.39886144, 0.3821855]","[7902.12451171875, 4867.50244140625, 3933.302734375, 3158.720458984375, 2472.7666015625]",[0.1042979  0.21388862 0.22779204 ... 0.11856834 0.20011101 0.17908643],0.08230604710382733,0.24656405762855907
facade,"[0.41355795, 0.4107524, 0.42385188, 0.4060522, 0.380187, 0.3820954, 0.3767547, 0.3859087, 0.38576326]","[10148.5595703125, 6784.966796875, 4458.52880859375, 3431.525146484375, 2812.3896484375]",[0.14087297 0.19816221 0.19669851 ... 0.10644333 0.12308705 0.1204477 ],0.07877575677848189,0.2565716303454248
fine,"[0.34759757, 0.37553027, 0.39470756, 0.40596312, 0.41693798, 0.39613712, 0.3878319, 0.38663515, 0.37986413]","[16452.59765625, 10364.7216796875, 7633.50927734375, 5676.87548828125, 4852.23974609375]",[0.19535748 0.32150049 0.36871759 ... 0.19740039 0.31594804 0.24839371],0.09764322363459393,0.3231546628567718
foyer,"[0.50038874, 0.41382226, 0.413723, 0.38969874, 0.38365838, 0.40133446, 0.38810408, 0.37899315, 0.38457015]","[11101.2392578125, 7514.564453125, 4995.8154296875, 4107.12841796875, 3438.451904296875]",[0.26320273 0.24610316 0.24473967 ... 0.16200575 0.21887397 0.09085769],0.08133113222600168,0.26843190203465267
naive,"[0.3589279, 0.43537518, 0.3796821, 0.4063642, 0.41441151, 0.39378572, 0.3974179, 0.37824714, 0.3863097]","[10407.9267578125, 5976.81884765625, 4327.501953125, 3077.25439453125, 2487.6005859375]",[0.16423308 0.15230427 0.14165002 ... 0.06767942 0.19464548 0.21395421],0.07381588229092806,0.20303688126687866
nuance,"[0.3954775, 0.5042536, 0.452156, 0.4458228, 0.41503894, 0.4074031, 0.42624894, 0.40519732, 0.38844964]","[14566.498046875, 7060.490234375, 5418.10009765625, 4225.25, 3401.496337890625]",[0.21880147 0.28464501 0.27478316 ... 0.17909103 0.19480235 0.14981934],0.07681132914606366,0.27119447118575035
physique,"[0.45808923, 0.39433265, 0.37610224, 0.3761592, 0.35115564, 0.3647128, 0.36890113, 0.36065704, 0.37000114]","[11989.4296875, 7692.79150390625, 5762.86865234375, 4501.7890625, 3813.12744140625]",[0.19962578 0.3096939  0.47499885 ... 0.2536264  0.22115629 0.2306173 ],0.07527228878424463,0.27439985841574666
rapport,"[0.40675506, 0.4300355, 0.4353791, 0.40459308, 0.3835404, 0.3905848, 0.37741604, 0.38562012, 0.3754071]","[16487.990234375, 9615.8828125, 6657.908203125, 5296.22314453125, 4480.2841796875]",[0.13601882 0.2483557  0.15751439 ... 0.11124817 0.20920183 0.18867364],0.09463051958923839,0.29792470442958513
reservoir,"[0.36784822, 0.39166325, 0.37330922, 0.36637738, 0.35028833, 0.35686925, 0.36742294, 0.3593174, 0.35827875]","[11375.1103515625, 7286.88720703125, 5389.03076171875, 4317.7421875, 3659.477294921875]",[0.16132884 0.19023847 0.26630101 ... 0.21609209 0.23861756 0.21000223],0.07792649440970605,0.26054362696767186
marketing,"[0.4015057, 0.43490577, 0.4192976, 0.41429847, 0.39587754, 0.3828525, 0.38940483, 0.40468436, 0.38838172]","[8631.4794921875, 5319.7919921875, 3732.489013671875, 3029.19189453125, 2534.89990234375]",[0.11943526 0.14088783 0.15097887 ... 0.12998321 0.13076927 0.12631109],0.06456349196982798,0.20496450737204422
business,"[0.40064308, 0.47732556, 0.432495, 0.40489793, 0.4058078, 0.38391885, 0.37980318, 0.3788963, 0.38246113]","[9616.9228515625, 4901.56396484375, 3559.47119140625, 2962.252685546875, 2432.599853515625]",[0.16258698 0.24487566 0.30367571 ... 0.14124616 0.21621703 0.20936201],0.06835661093741269,0.23795799196413692
vintage,"[0.4561498, 0.40250868, 0.43088207, 0.39054003, 0.39383638, 0.37603045, 0.382253, 0.379782, 0.3828114]","[8265.126953125, 5445.0791015625, 3661.020751953125, 3002.830810546875, 2552.015625]",[0.18718195 0.19209133 0.17304945 ... 0.13171819 0.27131316 0.19674483],0.06759672595689437,0.2122544152945888
spoiler,"[0.50855756, 0.40425065, 0.40544665, 0.392898, 0.3988983, 0.38515496, 0.38984862, 0.38425463, 0.38323024]","[8561.47265625, 6027.18017578125, 4548.45654296875, 3536.99951171875, 2757.74462890625]",[0.08853842 0.1268319  0.16159036 ... 0.06934089 0.17168519 0.20936113],0.07915381925598389,0.22314124587729264
casting,"[0.39475122, 0.42002723, 0.41448295, 0.37998128, 0.37322176, 0.37391326, 0.38664076, 0.36818334, 0.3690345]","[10714.75, 7061.0986328125, 5142.58251953125, 4080.061767578125, 3318.342529296875]",[0.142629   0.2429318  0.14455734 ... 0.19654578 0.22643758 0.24289588],0.07267089735312268,0.25006047349504124
bestseller,"[0.5304939, 0.58950734, 0.5536294, 0.5173322, 0.50373256, 0.4740967, 0.47117677, 0.4812056, 0.47918335]","[8588.7890625, 3556.12060546875, 2192.7822265625, 1694.5762939453125, 1492.83447265625]",[0.15973758 0.09856649 0.15973758 ... 0.0868701  0.12884447 0.07010439],0.0871280722830203,0.2044540030577624
pitch,"[0.39407307, 0.3934377, 0.38201544, 0.38046485, 0.3782362, 0.36493474, 0.36198816, 0.35643974, 0.3679958]","[13136.130859375, 8605.7900390625, 6217.2333984375, 4982.92333984375, 4137.9853515625]",[0.12773028 0.19356317 0.20878783 ... 0.         0.4079686  0.4079686 ],0.09172011346428907,0.32128694193114987
cool,"[0.45966327, 0.44010192, 0.41645393, 0.3918336, 0.3931043, 0.38455993, 0.37615868, 0.39528748, 0.39475566]","[10899.38671875, 7446.37841796875, 5171.541015625, 4237.37890625, 3476.8349609375]",[0.0575515  0.20098951 0.13517406 ... 0.19433605 0.231564   0.32347793],0.08148916047056505,0.2681653665499708
loser,"[0.39772612, 0.3831477, 0.41431946, 0.4095119, 0.38186923, 0.39631662, 0.39979222, 0.4022638, 0.39979053]","[9179.921875, 6396.52734375, 4243.46533203125, 3427.267578125, 2887.905029296875]",[0.26215993 0.22960334 0.17743191 ... 0.11305802 0.20841716 0.18339445],0.07385035690846922,0.2441712547390092
coach,"[0.34636018, 0.39888114, 0.39842272, 0.400623, 0.4119845, 0.4048574, 0.41049147, 0.39229038, 0.39537916]","[13201.6083984375, 8312.771484375, 5965.89501953125, 4611.2509765625, 3551.633544921875]",[0.21655927 0.38678819 0.38801534 ... 0.0504909  0.18932407 0.18612239],0.08374651101232741,0.2657302340645438
email,"[0.6512296, 0.52938384, 0.5074245, 0.4948286, 0.47000968, 0.4801703, 0.44691828, 0.47685742, 0.47031718]","[7307.5732421875, 3892.57373046875, 2593.2158203125, 1847.2576904296875, 1511.2197265625]",[0.15305366 0.1195724  0.15656966 ... 0.20746081 0.21044162 0.07993292],0.08201051579986253,0.19506542885666456
brunch,"[0.6831444, 0.66021705, 0.49474883, 0.46178773, 0.37532854, 0.36890715, 0.37875506, 0.36626345, 0.36322686]","[8212.556640625, 5776.693359375, 3488.871337890625, 2919.21484375, 2404.59912109375]",[0.13858135 0.11412628 0.30543753 ... 0.10543099 0.25053532 0.29739343],0.09881713505231385,0.23882366667332178
digital,"[0.46764648, 0.39096823, 0.40931505, 0.39092702, 0.36425716, 0.3746984, 0.37457368, 0.35700342, 0.35010663]","[6960.390625, 4754.6083984375, 3364.94921875, 2778.97021484375, 2384.603515625]",[0.0837247  0.10043741 0.07720634 ... 0.15941167 0.22613746 0.15462658],0.06871171466566564,0.23377367618462916
leader,"[0.49665186, 0.4931661, 0.46994254, 0.4546759, 0.4328722, 0.44132558, 0.4124453, 0.41909313, 0.39841846]","[10986.5380859375, 6485.8359375, 4333.7783203125, 3364.8671875, 2571.076171875]",[0.26935725 0.27743023 0.31453605 ... 0.25783986 0.1934477  0.20894986],0.07491312946016453,0.30217077844241086
hacker,"[0.37389114, 0.47821972, 0.44142202, 0.43818775, 0.43124202, 0.43406507, 0.3885035, 0.38119105, 0.37601843]","[8748.443359375, 4841.5244140625, 3381.1884765625, 2664.509765625, 2120.072265625]",[0.14037379 0.09166589 0.16499871 ... 0.07875239 0.11536602 0.1353707 ],0.05912014696183085,0.1720372186001235
manager,"[0.41093078, 0.5310134, 0.5040874, 0.4338571, 0.45036122, 0.41587573, 0.43612897, 0.42934278, 0.4320734]","[14287.435546875, 6514.22119140625, 5043.7490234375, 3741.433349609375, 3039.39404296875]",[0.24302539 0.31103595 0.3617022  ... 0.21355584 0.27031333 0.27153221],0.08932507198744702,0.2991964607162137
jogging,"[0.5080368, 0.40803447, 0.43947732, 0.4095498, 0.39288703, 0.37521538, 0.37435597, 0.37103835, 0.35073742]","[6726.51171875, 4507.5224609375, 2984.998779296875, 2251.577880859375, 1883.47900390625]",[0.06347769 0.10550413 0.09578673 ... 0.10733293 0.2668188  0.2266806 ],0.06296902362859967,0.16904673379491056
yes,"[0.48403084, 0.61425036, 0.56096005, 0.5540474, 0.53284264, 0.51725334, 0.49712116, 0.4899864, 0.4505219]","[18685.0859375, 7362.3154296875, 4838.767578125, 3037.815673828125, 2236.5068359375]",[0.31893096 0.39537965 0.31960516 ... 0.21793026 0.20245272 0.08713571],0.09442780399188347,0.2646237739786305
match,"[0.48137552, 0.48723817, 0.47012958, 0.4300994, 0.4508045, 0.4402973, 0.42036352, 0.41921943, 0.3997296]","[15385.837890625, 10247.3955078125, 6988.97802734375, 5378.22412109375, 4440.6015625]",[0.23857061 0.20438209 0.18816949 ... 0.28813904 0.27983236 0.25203252],0.09803758339576496,0.3279119894944911
shopping,"[0.4286369, 0.43167534, 0.41490504, 0.42827854, 0.4290885, 0.43904236, 0.44350517, 0.41226155, 0.3948479]","[11046.404296875, 7073.197265625, 5148.1640625, 4046.30615234375, 3319.48193359375]",[0.07305202 0.13390603 0.10001912 ... 0.17532213 0.20083935 0.12168671],0.07808713211982514,0.2169476825870813
academy,"[0.3832717, 0.39692363, 0.40485686, 0.42104068, 0.4101687, 0.41460553, 0.42424345, 0.42086938, 0.41414618]","[14684.40625, 9475.53125, 6714.32568359375, 5328.1689453125, 4185.15087890625]",[0.197044   0.19606657 0.18722128 ... 0.25137387 0.24872097 0.27958334],0.09647752036427441,0.3201947929646182
