word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
chanson,"[0.48181373, 0.43211898, 0.3734888, 0.3779876, 0.3648104, 0.3808461, 0.3746989, 0.3698922, 0.37626952]","[12474.7158203125, 8122.11669921875, 6494.31982421875, 5378.57470703125, 4396.66845703125]",[0.07310641 0.09858328 0.27635165 ... 0.21028069 0.24809909 0.25959002],0.08430667092292143,0.3087866385210908
chanson,"[0.48181385, 0.4321186, 0.37348863, 0.3779874, 0.36481023, 0.38084635, 0.3746991, 0.36989245, 0.37626976]","[12474.7119140625, 8122.11962890625, 6494.3193359375, 5378.57470703125, 4396.67138671875]",[0.07310641 0.09858328 0.27635165 ... 0.21028069 0.24809909 0.25959002],0.08430667092292143,0.3087866385210908
a la mode,"[0.6122515, 0.4851084, 0.46692726, 0.4574763, 0.41989827, 0.41710818, 0.4099536, 0.42259926, 0.4015655]","[5687.1572265625, 3838.599609375, 2633.802001953125, 1914.3702392578125, 1543.9432373046875]",[0.05928667 0.26348386 0.12879    ... 0.12318268 0.12217544 0.07879164],0.09427243924232251,0.24290897128104263
académie,"[0.4406952, 0.46606696, 0.46170297, 0.42180124, 0.3866761, 0.3586725, 0.3566184, 0.3584657, 0.36956897]","[11584.70703125, 7060.587890625, 5258.55810546875, 3895.650390625, 3364.366455078125]",[0.21646668 0.217658   0.27027666 ... 0.10414006 0.23588806 0.21765297],0.07885873589679165,0.24579721253948694
après,"[0.35026097, 0.42627135, 0.45996103, 0.437335, 0.4237702, 0.38857874, 0.39370516, 0.3800553, 0.3853541]","[23377.25, 13978.01953125, 9537.388671875, 7222.0751953125, 5963.703125]",[0.27048528 0.41158486 0.35194545 ... 0.27749875 0.39578155 0.36816895],0.11133968251207318,0.3290950380092266
auteur,"[0.4220111, 0.41742197, 0.39914137, 0.42495447, 0.44353464, 0.4168821, 0.411818, 0.40308234, 0.3872406]","[16807.37109375, 12281.9638671875, 9354.8984375, 6659.7080078125, 4831.4228515625]",[0.17604531 0.22515828 0.12126483 ... 0.21183747 0.36893385 0.22400347],0.10766777663390596,0.2969221468035755
a la mode,"[0.61225164, 0.48510835, 0.46692735, 0.4574763, 0.41989827, 0.4171082, 0.40995362, 0.4225991, 0.40156555]","[5687.1572265625, 3838.6015625, 2633.80224609375, 1914.3707275390625, 1543.943115234375]",[0.05928667 0.26348386 0.12879    ... 0.12318268 0.12217544 0.07879164],0.09427243924232251,0.24290897128104263
académie,"[0.44069526, 0.46606696, 0.46170294, 0.4218013, 0.38667613, 0.35867256, 0.35661843, 0.35846576, 0.36956897]","[11584.6982421875, 7060.58154296875, 5258.5517578125, 3895.644775390625, 3364.3623046875]",[0.21646668 0.217658   0.27027666 ... 0.10414006 0.23588806 0.21765297],0.07885873589679165,0.24579721253948694
après,"[0.3502609, 0.42627132, 0.45996106, 0.437335, 0.42377013, 0.38857874, 0.39370513, 0.38005528, 0.38535407]","[23377.26171875, 13978.0234375, 9537.384765625, 7222.07568359375, 5963.70263671875]",[0.27048528 0.41158486 0.35194545 ... 0.27749875 0.39578155 0.36816895],0.11133968251207318,0.3290950380092266
bourgeois,"[0.38428608, 0.45913568, 0.43598264, 0.46847183, 0.45723492, 0.44916195, 0.42218006, 0.42540872, 0.4199831]","[12540.57421875, 6785.59765625, 5041.53564453125, 3385.441650390625, 2586.777099609375]",[0.1940506  0.24161567 0.24324805 ... 0.24571626 0.16939395 0.10732099],0.07480693109925844,0.23024148214276777
burlesque,"[0.55279213, 0.53259546, 0.45695192, 0.43495166, 0.4098951, 0.4108391, 0.3974903, 0.40104368, 0.3965264]","[8410.119140625, 4277.72021484375, 2968.828857421875, 2364.376220703125, 1969.155029296875]",[0.16613108 0.23965903 0.21963937 ... 0.37430523 0.29158586 0.20345023],0.07538001220789267,0.2190671713134086
depanneur,"[0.55375224, 0.49948576, 0.60415655, 0.54139274, 0.5480636, 0.5494569, 0.53853136, 0.6205293, 0.653696]","[1400.7484130859375, 908.9402465820312, 495.6606750488281, 292.489013671875, 220.62510681152344]",[0.26487557 0.32492866 0.11381894 ... 0.12920215 0.09596402 0.09787877],0.09091549843134061,0.2106342938226104
