word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
gite,"[0.6176778, 0.70335686, 0.6440044, 0.60582674, 0.6321482, 0.6083771, 0.60589045, 0.57303476, 0.5362234]","[5378.6650390625, 1816.6295166015625, 1207.39892578125, 841.1856079101562, 478.2529296875]",[0.4087351  0.4087351  0.4087351  ... 0.         0.22369553 0.22369553],0.1678567096588353,0.2971236273086329
jongleur,"[0.63041675, 0.5644917, 0.5841214, 0.58343816, 0.555176, 0.5843594, 0.4566658, 0.49880192, 0.5086317]","[700.866943359375, 350.9205017089844, 257.0228271484375, 190.67599487304688, 159.11798095703125]",[0.25804118 0.27796185 0.28818433 ... 0.10794409 0.30850095 0.31592079],0.08977125244070461,0.19270927722401218
lycee,"[0.5147628, 0.40605408, 0.4901183, 0.45971075, 0.43989334, 0.44065347, 0.43644464, 0.43039605, 0.41160643]","[5744.0751953125, 3609.84423828125, 2010.5294189453125, 1453.16455078125, 1159.470947265625]",[0.95650207 0.88392433 0.92234736 ... 0.0178193  0.21970985 0.21394427],0.19004685287161127,0.39969437726433776
peloton,"[0.7019255, 0.6577921, 0.5776414, 0.5763785, 0.5528535, 0.54258835, 0.5191526, 0.5137021, 0.52398497]","[4823.046875, 1586.686279296875, 967.563232421875, 737.33935546875, 551.6487426757812]",[0.59571612 0.59571612 0.25977016 ... 0.23987133 0.21877802 0.06434478],0.25402100449793336,0.4800959646961502
proletariat,"[0.6172849, 0.42153552, 0.41483647, 0.38777655, 0.40286908, 0.40785104, 0.37074685, 0.36046857, 0.35798547]","[1831.542236328125, 1095.3177490234375, 798.8572387695312, 631.3538818359375, 508.14825439453125]",[0.06863133 0.12279007 0.12576645 ... 0.05320136 0.06984261 0.03936754],0.07016542388643633,0.1288451552364658
rendezvous,"[0.64076954, 0.6120094, 0.48564354, 0.4310484, 0.41289806, 0.41022596, 0.39745763, 0.38115707, 0.3864046]","[2808.410888671875, 1663.95263671875, 993.0162353515625, 747.9442138671875, 594.5836181640625]",[0.09100471 0.17099514 0.2074309  ... 0.08962613 0.14400254 0.09912737],0.13850707837107665,0.26176708269593013
gite,"[0.61767787, 0.7033569, 0.6440044, 0.6058267, 0.6321482, 0.6083771, 0.6058905, 0.57303464, 0.53622335]","[5378.6630859375, 1816.6302490234375, 1207.39892578125, 841.185546875, 478.2532958984375]",[0.4087351  0.4087351  0.4087351  ... 0.         0.22369553 0.22369553],0.1678567096588353,0.2971236273086329
jongleur,"[0.63041675, 0.5644918, 0.58412486, 0.5834401, 0.5551765, 0.5843569, 0.456666, 0.49879742, 0.5086269]","[700.8660888671875, 350.9193420410156, 257.01947021484375, 190.67373657226562, 159.116943359375]",[0.25804118 0.27796185 0.28818433 ... 0.10794409 0.30850095 0.31592079],0.08977125244070461,0.19270927722401218
lycee,"[0.51476276, 0.40605393, 0.49011827, 0.45971057, 0.43989325, 0.44065338, 0.43644464, 0.4303961, 0.41160643]","[5744.0771484375, 3609.845458984375, 2010.52978515625, 1453.1661376953125, 1159.47216796875]",[0.95650207 0.88392433 0.92234736 ... 0.0178193  0.21970985 0.21394427],0.19004685287161127,0.39969437726433776
peloton,"[0.7019255, 0.6577921, 0.5776415, 0.57637864, 0.5528536, 0.5425884, 0.51915264, 0.5137022, 0.523985]","[4823.0478515625, 1586.686279296875, 967.563232421875, 737.33935546875, 551.6488037109375]",[0.59571612 0.59571612 0.25977016 ... 0.23987133 0.21877802 0.06434478],0.25402100449793336,0.4800959646961502
proletariat,"[0.61728483, 0.42153522, 0.41483602, 0.38777688, 0.4028689, 0.40785113, 0.3707474, 0.3604699, 0.35798624]","[1831.543212890625, 1095.31884765625, 798.85791015625, 631.3536987304688, 508.14849853515625]",[0.06863133 0.12279007 0.12576645 ... 0.05320136 0.06984261 0.03936754],0.07016542388643633,0.1288451552364658
rendezvous,"[0.64076954, 0.6120094, 0.48564368, 0.43104878, 0.41289893, 0.4102266, 0.39745784, 0.3811578, 0.38640466]","[2808.41064453125, 1663.953125, 993.0156860351562, 747.9429931640625, 594.5821533203125]",[0.09100471 0.17099514 0.2074309  ... 0.08962613 0.14400254 0.09912737],0.13850707837107665,0.26176708269593013
aplomb,"[0.71861196, 0.4242061, 0.4554367, 0.40712446, 0.42303088, 0.42121464, 0.37053186, 0.37483984, 0.3714994]","[2334.8876953125, 1324.748046875, 827.4903564453125, 629.2318115234375, 511.5074768066406]",[0.06083329 0.07281914 0.29889518 ... 0.03731589 0.35820853 0.36432429],0.10761837881073341,0.15000495089180665
beige,"[0.5938521, 0.579268, 0.44299033, 0.44695532, 0.4231084, 0.43683293, 0.42284375, 0.4018937, 0.40606257]","[6059.732421875, 2832.31201171875, 1971.6871337890625, 1381.11962890625, 1106.839111328125]",[0.06732156 0.07325144 0.07482345 ... 0.33963163 0.38750041 0.05505348],0.19213900521350333,0.2537557886991799
brochure,"[0.5634277, 0.6745374, 0.5671529, 0.51001805, 0.53902197, 0.50011533, 0.46563566, 0.47063577, 0.43817347]","[7273.8388671875, 1737.823486328125, 1099.0107421875, 795.6657104492188, 549.566650390625]",[0.19155471 0.16595158 0.07876204 ... 0.13519699 0.28407058 0.22309286],0.21761140646806845,0.31245661213032033
cafe,"[0.49681878, 0.45386952, 0.41457787, 0.41237625, 0.4193398, 0.40612185, 0.42238653, 0.41765568, 0.3911555]","[3700.03125, 2349.940673828125, 1763.441162109375, 1376.093505859375, 1084.872802734375]",[0.17886749 0.29924364 0.37196127 ... 0.01678648 0.0280437  0.02078895],0.137893235632454,0.369588133682646
camaraderie,"[0.63223696, 0.4471875, 0.37644836, 0.38284197, 0.38846493, 0.37973157, 0.40627143, 0.38572428, 0.3812083]","[1488.549560546875, 877.5478515625, 664.56494140625, 554.404296875, 449.9554443359375]",[0.05437842 0.06511906 0.0542757  ... 0.05811438 0.07066095 0.07656177],0.07627241335066509,0.13656341428460309
cliche,"[0.4372868, 0.4136703, 0.4288393, 0.41358995, 0.38895512, 0.3560894, 0.36484247, 0.3661831, 0.372508]","[2982.45703125, 1894.9630126953125, 1325.412841796875, 1000.7860107421875, 878.8377685546875]",[0.10700879 0.15616721 0.1221058  ... 0.20070703 0.15806406 0.15902673],0.08250119516858731,0.1944662268668015
clique,"[0.6017884, 0.58074224, 0.6100295, 0.51627016, 0.4527413, 0.4338877, 0.4302516, 0.4115623, 0.40195262]","[5032.935546875, 3107.52294921875, 1609.387451171875, 1074.529052734375, 892.8958740234375]",[0.29890388 0.3349215  0.32917367 ... 0.33768821 0.27546634 0.12773635],0.17368388874996804,0.30464647972331343
concierge,"[0.68350124, 0.7250578, 0.5775441, 0.5167488, 0.46228603, 0.46134898, 0.4192538, 0.411119, 0.41721758]","[3277.40283203125, 1038.642578125, 560.8824462890625, 438.66424560546875, 363.16510009765625]",[0.11758981 0.17499001 0.20110078 ... 0.05833714 0.09676479 0.07770876],0.16940787182453945,0.24179817687873026
coup,"[0.7087111, 0.71845204, 0.6255531, 0.6138076, 0.5792777, 0.547864, 0.554665, 0.5492956, 0.5394339]","[7777.09814453125, 1558.9959716796875, 911.2765502929688, 515.6171264648438, 423.17266845703125]",[0.11923566 0.09900857 0.11923566 ... 0.26255931 0.145382   0.22117374],0.2610305385644296,0.39922002408893176
debacle,"[0.5280089, 0.46949527, 0.4552501, 0.42061487, 0.44150007, 0.4186274, 0.41548705, 0.39739972, 0.37822354]","[2126.32763671875, 1169.954345703125, 817.8248291015625, 635.7160034179688, 512.324951171875]",[0.03585534 0.05202475 0.23685779 ... 0.12197068 0.09906081 0.04967931],0.06689450025787134,0.19223272853995169
