word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
word,silhouette scores,wcss (elbow),cosine distances,standard dev,mean distance
chanson,"[0.4822189, 0.42364812, 0.39442748, 0.40486383, 0.3792116, 0.3900168, 0.37899944, 0.3743301, 0.37005627]","[10325.3232421875, 6586.2373046875, 5340.46435546875, 4256.373046875, 3454.63330078125]",[0.07007465 0.09608722 0.26854307 ... 0.20512651 0.2411882  0.26440419],0.07793012362369356,0.3088958739208911
chanson,"[0.48221886, 0.42364863, 0.39442748, 0.404864, 0.3792118, 0.3900165, 0.3789989, 0.37433076, 0.37005615]","[10325.3349609375, 6586.23876953125, 5340.46533203125, 4256.37451171875, 3454.6328125]",[0.07007465 0.09608722 0.26854307 ... 0.20512651 0.2411882  0.26440419],0.07793012362369356,0.3088958739208911
a la mode,"[0.59936345, 0.44056782, 0.46354136, 0.46496314, 0.43242776, 0.4467184, 0.4187814, 0.4351421, 0.43981388]","[5200.25537109375, 3417.36376953125, 2394.893798828125, 1732.245361328125, 1373.796630859375]",[0.07239695 0.29715886 0.1444717  ... 0.15635688 0.15986726 0.09772789],0.09390132357982384,0.25126541505518696
académie,"[0.45825014, 0.48162198, 0.4047808, 0.43024293, 0.39517877, 0.3954905, 0.37544507, 0.38042408, 0.3969138]","[9350.85546875, 5488.751953125, 4254.3330078125, 3099.02197265625, 2647.7294921875]",[0.22178438 0.21210775 0.22881984 ... 0.11773771 0.23652457 0.21973449],0.070387838192278,0.23262493095607134
après,"[0.3457613, 0.43746838, 0.4595531, 0.43790144, 0.3949575, 0.39362267, 0.40243855, 0.41138276, 0.41181946]","[18342.8359375, 10352.8310546875, 7470.388671875, 5553.84130859375, 4742.3974609375]",[0.30362716 0.43025539 0.3669096  ... 0.33876848 0.40362188 0.41819255],0.09573491845874253,0.3459119154587296
auteur,"[0.43193266, 0.40057927, 0.40943143, 0.4398738, 0.440299, 0.41689765, 0.41753513, 0.40513867, 0.40768224]","[12590.943359375, 9570.533203125, 6811.2685546875, 4844.83544921875, 3890.723876953125]",[0.21314909 0.26895998 0.13060834 ... 0.24304744 0.38935861 0.25474197],0.09164555830911418,0.3042611581431298
auteur,"[0.4319327, 0.40057957, 0.40943104, 0.43987396, 0.4402988, 0.4168976, 0.41753513, 0.4051386, 0.40768206]","[12590.9345703125, 9570.5205078125, 6811.2705078125, 4844.83056640625, 3890.7255859375]",[0.21314909 0.26895998 0.13060834 ... 0.24304744 0.38935861 0.25474197],0.09164555917724156,0.30426115741821647
a la mode,"[0.59936345, 0.44056782, 0.4635413, 0.46496302, 0.43242767, 0.44671842, 0.41878152, 0.4351421, 0.43981397]","[5200.2548828125, 3417.36376953125, 2394.894775390625, 1732.24609375, 1373.7974853515625]",[0.07239695 0.29715886 0.1444717  ... 0.15635688 0.15986726 0.09772789],0.09390132357982384,0.25126541505518696
académie,"[0.4582502, 0.48162192, 0.40478078, 0.4302428, 0.39517865, 0.39549032, 0.375445, 0.38042396, 0.39691398]","[9350.849609375, 5488.74951171875, 4254.33447265625, 3099.02490234375, 2647.7294921875]",[0.22178438 0.21210775 0.22881984 ... 0.11773771 0.23652457 0.21973449],0.070387838192278,0.23262493095607134
après,"[0.3457612, 0.43746838, 0.45955294, 0.4379014, 0.39495745, 0.39362267, 0.40243858, 0.41138276, 0.41173252]","[18342.841796875, 10352.8291015625, 7470.39111328125, 5553.84033203125, 4742.3974609375]",[0.30362716 0.43025539 0.3669096  ... 0.33876848 0.40362188 0.41819255],0.09573491845874253,0.3459119154587296
bourgeois,"[0.475433, 0.49008638, 0.4969877, 0.48933858, 0.44872785, 0.43572274, 0.4192142, 0.404054, 0.40715316]","[9645.2158203125, 5038.74169921875, 3650.687255859375, 2473.591552734375, 1970.9659423828125]",[0.19188294 0.22866705 0.22533523 ... 0.11257073 0.15467148 0.14001922],0.07049671556933093,0.22646307421049525
bourgeois,"[0.47683612, 0.48951295, 0.4974759, 0.4942807, 0.44908905, 0.43738246, 0.42110798, 0.409137, 0.40913323]","[9573.517578125, 5026.56005859375, 3630.965087890625, 2466.117431640625, 1959.8004150390625]",[0.19188294 0.22866705 0.22533523 ... 0.24773261 0.18020082 0.11257073],0.07049801081618204,0.22639843592813763
