a la mode,"[0.55425024, 0.46847755, 0.44437438, 0.40262577, 0.3984763, 0.40416726, 0.39524662, 0.3843673, 0.3856774]","[4140.55419921875, 2512.7392578125, 1956.410888671875, 1556.91259765625, 1257.1654052734375]",[0.11143158 0.38009988 0.15912814 ... 0.24923724 0.2373999  0.20276117],0.105566609,0.31778569
académie,"[0.4815758, 0.56717384, 0.38543153, 0.38348457, 0.39832488, 0.39283296, 0.3883343, 0.3821073, 0.38158894]","[14187.15625, 6781.99560546875, 5345.2470703125, 4153.13671875, 3222.1435546875]",[0.45418986 0.33783351 0.32430708 ... 0.32945424 0.25351577 0.36966277],0.136491617,0.504508027
après,"[0.4037505, 0.43449146, 0.43656135, 0.41197816, 0.41056395, 0.4013581, 0.4078892, 0.40525353, 0.4058309]","[14511.8115234375, 8216.5576171875, 5838.50634765625, 4513.43115234375, 3701.203369140625]",[0.16733086 0.28000164 0.28510512 ... 0.31147142 0.33794954 0.09897796],0.126683035,0.367557809
bourgeois,"[0.4493959, 0.46166322, 0.48306087, 0.4587113, 0.41576996, 0.3821716, 0.38994494, 0.38700813, 0.39051813]","[8806.1064453125, 4889.31640625, 3364.980224609375, 2535.5537109375, 2115.492431640625]",[0.3597034  0.46421091 0.35032686 ... 0.24232982 0.26322814 0.28206823],0.100862188,0.376947638
burlesque,"[0.5408458, 0.44890115, 0.42214996, 0.4224754, 0.39415056, 0.38778278, 0.39108664, 0.39725208, 0.38998058]","[4764.85986328125, 2902.8935546875, 2085.561767578125, 1724.003173828125, 1445.553955078125]",[0.23468801 0.30431543 0.25053482 ... 0.15551997 0.36945621 0.34767876],0.078438684,0.234266979
depanneur,"[0.53202844, 0.6014343, 0.58907926, 0.6090991, 0.63961864, 0.6512037, 0.7054382, 0.6858911, 0.7065257]","[502.2520446777344, 225.425048828125, 139.85195922851562, 92.86155700683594, 68.39945983886719]","[2.81138278e-01 3.27325988e-01 1.66327363e-01 2.47002034e-01
 3.43370784e-01 3.80712929e-01 2.68479373e-01 2.40638522e-01
 2.81138278e-01 3.27325988e-01 1.66327363e-01 2.47002034e-01
 3.46015185e-01 3.87525790e-01 2.71987472e-01 1.78373135e-01
 2.93962896e-01 3.31165641e-01 3.16400138e-01 2.67396822e-01
 2.89144964e-01 2.93953889e-01 2.73637862e-01 3.03902160e-01
 3.32080444e-01 2.60125042e-01 2.81138278e-01 3.27325988e-01
 1.66327363e-01 2.47002034e-01 3.46015185e-01 3.87525790e-01
 2.71987472e-01 1.78373135e-01 2.93962896e-01 3.31165641e-01
 3.16400138e-01 2.67396822e-01 2.89144964e-01 2.93953889e-01
 2.73637862e-01 2.77100992e-01 2.85144975e-01 1.03875391e-01
 2.92436508e-01 2.47133869e-01 1.44970298e-01 1.64855449e-01
 1.68784217e-01 1.74772859e-01 0.00000000e+00 1.03875391e-01
 2.92436508e-01 2.47133869e-01 1.38627116e-01 1.73908528e-01
 1.64836345e-01 2.87411700e-01 1.54786440e-01 1.66234320e-01
 1.76672026e-01 2.31930784e-01 1.06160364e-01 1.43016054e-01
 1.54461137e-01 1.07214791e-01 1.36354061e-01 1.29605529e-01
 0.00000000e+00 1.03875391e-01 2.92436508e-01 2.47133869e-01
 1.38627116e-01 1.73908528e-01 1.64836345e-01 2.87411700e-01
 1.54786440e-01 1.66234320e-01 1.76672026e-01 2.31930784e-01
 1.06160364e-01 1.43016054e-01 1.54461137e-01 1.08274780e-01
 1.41829979e-01 3.54009742e-01 3.03774321e-01 2.22513174e-01
 1.59347500e-01 1.47728521e-01 1.85546636e-01 1.03875391e-01
 0.00000000e+00 3.54009742e-01 3.03774321e-01 2.13852421e-01
 1.40069253e-01 1.38554357e-01 3.21135176e-01 2.04380798e-01
 1.43679538e-01 1.62997987e-01 2.73989263e-01 1.80466286e-01
 2.26532688e-01 1.42444559e-01 1.89502850e-01 1.34842375e-01
 1.36927059e-01 1.03875391e-01 0.00000000e+00 3.54009742e-01
 3.03774321e-01 2.13852421e-01 1.40069253e-01 1.38554357e-01
 3.21135176e-01 2.04380798e-01 1.43679538e-01 1.62997987e-01
 2.73989263e-01 1.80466286e-01 2.26532688e-01 1.42444559e-01
 1.96253969e-01 1.36562320e-01 2.19957026e-01 3.68434429e-01
 4.19242964e-01 3.15107044e-01 3.22234746e-01 2.92436508e-01
 3.54009742e-01 0.00000000e+00 2.19957026e-01 3.64213137e-01
 4.23516755e-01 3.04246682e-01 2.39466331e-01 3.33247305e-01
 3.50336087e-01 3.62478916e-01 2.22681486e-01 2.66229433e-01
 2.56206682e-01 2.54594483e-01 3.35514560e-01 3.35373829e-01
 3.23431493e-01 2.92436508e-01 3.54009742e-01 0.00000000e+00
 2.19957026e-01 3.64213137e-01 4.23516755e-01 3.04246682e-01
 2.39466331e-01 3.33247305e-01 3.50336087e-01 3.62478916e-01
 2.22681486e-01 2.66229433e-01 2.56206682e-01 2.54594483e-01
 2.75684727e-01 2.53106331e-01 2.44428774e-01 3.26568688e-01
 2.71514872e-01 2.64054075e-01 2.47133869e-01 3.03774321e-01
 2.19957026e-01 0.00000000e+00 2.29012024e-01 3.25337273e-01
 2.50772099e-01 2.84158866e-01 2.97412845e-01 2.60380083e-01
 3.22543673e-01 1.73691087e-01 2.01488647e-01 2.10019352e-01
 2.16412203e-01 2.63773382e-01 2.72639647e-01 2.56479888e-01
 2.47133869e-01 3.03774321e-01 2.19957026e-01 0.00000000e+00
 2.29012024e-01 3.25337273e-01 2.50772099e-01 2.84158866e-01
 2.97412845e-01 2.60380083e-01 3.22543673e-01 1.73691087e-01
 2.01488647e-01 2.10019352e-01 2.16412203e-01 2.14680194e-01
 2.15803428e-01 9.36573811e-02 1.17278531e-01 1.17000242e-01
 1.44970298e-01 2.22513174e-01 3.68434429e-01 2.44428774e-01
 6.15705179e-03 1.22492359e-01 1.26357072e-01 3.28701038e-01
 1.42578102e-01 1.32189265e-01 1.59429220e-01 3.30282527e-01
 1.64555006e-01 2.05892815e-01 2.22534296e-01 1.19119156e-01
 1.84523086e-01 1.63543614e-01 1.44970298e-01 2.22513174e-01
 3.68434429e-01 2.44428774e-01 6.15705179e-03 1.22492359e-01
 1.26357072e-01 3.28701038e-01 1.42578102e-01 1.32189265e-01
 1.59429220e-01 3.30282527e-01 1.64555006e-01 2.05892815e-01
 2.22534296e-01 1.42814276e-01 2.21248284e-01 1.12561444e-01
 1.38577200e-01 1.64855449e-01 1.59347500e-01 4.19242964e-01
 3.26568688e-01 9.44068766e-02 1.24997311e-02 1.27632389e-01
 3.53945687e-01 1.67166214e-01 1.40304348e-01 1.64528970e-01
 3.54135780e-01 1.94774452e-01 2.31155846e-01 2.08196381e-01
 1.44059506e-01 1.54973783e-01 1.62988676e-01 1.64855449e-01
 1.59347500e-01 4.19242964e-01 3.26568688e-01 9.44068766e-02
 1.24997311e-02 1.27632389e-01 3.53945687e-01 1.67166214e-01
 1.40304348e-01 1.64528970e-01 3.54135780e-01 1.94774452e-01
 2.31155846e-01 2.08196381e-01 1.80490218e-01 2.12771898e-01
 7.02789764e-02 1.68784217e-01 1.47728521e-01 3.15107044e-01
 2.71514872e-01 1.25061561e-01 1.24036910e-01 1.06774408e-02
 2.87385732e-01 1.27455633e-01 1.12486121e-01 1.00324366e-01
 3.05901380e-01 2.02235618e-01 2.18217314e-01 1.69817344e-01
 1.68999692e-01 1.60279812e-01 1.22701263e-01 1.68784217e-01
 1.47728521e-01 3.15107044e-01 2.71514872e-01 1.25061561e-01
 1.24036910e-01 1.06774408e-02 2.87385732e-01 1.27455633e-01
 1.12486121e-01 1.00324366e-01 3.05901380e-01 2.02235618e-01
 2.18217314e-01 1.69817344e-01 1.91701825e-01 1.80474497e-01
 1.74772859e-01 1.85546636e-01 3.22234746e-01 2.64054075e-01
 1.30769625e-01 1.51368645e-01 7.27085207e-02 3.07548058e-01
 1.46462541e-01 1.38087708e-01 1.27135174e-01 3.20523787e-01
 2.06398982e-01 2.24035337e-01 1.70671420e-01 1.48327573e-01
 1.64084312e-01 6.59787534e-02 1.74772859e-01 1.85546636e-01
 3.22234746e-01 2.64054075e-01 1.30769625e-01 1.51368645e-01
 7.27085207e-02 3.07548058e-01 1.46462541e-01 1.38087708e-01
 1.27135174e-01 3.20523787e-01 2.06398982e-01 2.24035337e-01
 1.70671420e-01 1.70530376e-01 1.74344653e-01 1.03875391e-01
 2.92436508e-01 2.47133869e-01 1.38627116e-01 1.73908528e-01
 1.64836345e-01 2.87411700e-01 1.54786440e-01 1.66234320e-01
 1.76672026e-01 2.31930784e-01 1.06160364e-01 1.43016054e-01
 1.54461137e-01 1.07214791e-01 1.36354061e-01 1.29605529e-01
 0.00000000e+00 1.03875391e-01 2.92436508e-01 2.47133869e-01
 1.38627116e-01 1.73908528e-01 1.64836345e-01 2.87411700e-01
 1.54786440e-01 1.66234320e-01 1.76672026e-01 2.31930784e-01
 1.06160364e-01 1.43016054e-01 1.54461137e-01 1.08274780e-01
 1.41829979e-01 3.54009742e-01 3.03774321e-01 2.13852421e-01
 1.40069253e-01 1.38554357e-01 3.21135176e-01 2.04380798e-01
 1.43679538e-01 1.62997987e-01 2.73989263e-01 1.80466286e-01
 2.26532688e-01 1.42444559e-01 1.89502850e-01 1.34842375e-01
 1.36927059e-01 1.03875391e-01 0.00000000e+00 3.54009742e-01
 3.03774321e-01 2.13852421e-01 1.40069253e-01 1.38554357e-01
 3.21135176e-01 2.04380798e-01 1.43679538e-01 1.62997987e-01
 2.73989263e-01 1.80466286e-01 2.26532688e-01 1.42444559e-01
 1.96253969e-01 1.36562320e-01 2.19957026e-01 3.64213137e-01
 4.23516755e-01 3.04246682e-01 2.39466331e-01 3.33247305e-01
 3.50336087e-01 3.62478916e-01 2.22681486e-01 2.66229433e-01
 2.56206682e-01 2.54594483e-01 3.35514560e-01 3.35373829e-01
 3.23431493e-01 2.92436508e-01 3.54009742e-01 0.00000000e+00
 2.19957026e-01 3.64213137e-01 4.23516755e-01 3.04246682e-01
 2.39466331e-01 3.33247305e-01 3.50336087e-01 3.62478916e-01
 2.22681486e-01 2.66229433e-01 2.56206682e-01 2.54594483e-01
 2.75684727e-01 2.53106331e-01 2.29012024e-01 3.25337273e-01
 2.50772099e-01 2.84158866e-01 2.97412845e-01 2.60380083e-01
 3.22543673e-01 1.73691087e-01 2.01488647e-01 2.10019352e-01
 2.16412203e-01 2.63773382e-01 2.72639647e-01 2.56479888e-01
 2.47133869e-01 3.03774321e-01 2.19957026e-01 0.00000000e+00
 2.29012024e-01 3.25337273e-01 2.50772099e-01 2.84158866e-01
 2.97412845e-01 2.60380083e-01 3.22543673e-01 1.73691087e-01
 2.01488647e-01 2.10019352e-01 2.16412203e-01 2.14680194e-01
 2.15803428e-01 1.13054314e-01 1.24750813e-01 3.14530691e-01
 1.40954398e-01 1.31981758e-01 1.63067366e-01 3.13360851e-01
 1.60346894e-01 1.98570076e-01 2.20464573e-01 1.29004835e-01
 1.90522932e-01 1.73342823e-01 1.38627116e-01 2.13852421e-01
 3.64213137e-01 2.29012024e-01 0.00000000e+00 1.13054314e-01
 1.24750813e-01 3.14530691e-01 1.40954398e-01 1.31981758e-01
 1.63067366e-01 3.13360851e-01 1.60346894e-01 1.98570076e-01
 2.20464573e-01 1.44872153e-01 2.20945779e-01 1.27047299e-01
 3.49099201e-01 1.89394605e-01 1.45614740e-01 1.66708727e-01
 3.48303947e-01 2.05415474e-01 2.46344872e-01 2.02572300e-01
 1.68174326e-01 1.59335368e-01 1.70027801e-01 1.73908528e-01
 1.40069253e-01 4.23516755e-01 3.25337273e-01 1.13054314e-01
 2.22044605e-16 1.27047299e-01 3.49099201e-01 1.89394605e-01
 1.45614740e-01 1.66708727e-01 3.48303947e-01 2.05415474e-01
 2.46344872e-01 2.02572300e-01 1.99895758e-01 2.07278605e-01
 2.71751149e-01 1.27823860e-01 1.14503837e-01 9.09263640e-02
 2.82602211e-01 2.02807289e-01 2.08010205e-01 1.58448148e-01
 1.78848927e-01 1.69753124e-01 1.19976668e-01 1.64836345e-01
 1.38554357e-01 3.04246682e-01 2.50772099e-01 1.24750813e-01
 1.27047299e-01 0.00000000e+00 2.71751149e-01 1.27823860e-01
 1.14503837e-01 9.09263640e-02 2.82602211e-01 2.02807289e-01
 2.08010205e-01 1.58448148e-01 1.92422899e-01 1.71037853e-01
 2.41471348e-01 2.92023757e-01 2.53859979e-01 2.80312521e-01
 3.00292889e-01 2.94835397e-01 3.03205415e-01 3.30188842e-01
 3.51654561e-01 3.18160213e-01 2.87411700e-01 3.21135176e-01
 2.39466331e-01 2.84158866e-01 3.14530691e-01 3.49099201e-01
 2.71751149e-01 0.00000000e+00 2.41471348e-01 2.92023757e-01
 2.53859979e-01 2.80312521e-01 3.00292889e-01 2.94835397e-01
 3.03205415e-01 2.90864961e-01 3.10931825e-01 9.11781024e-02
 9.68154419e-02 3.14727143e-01 2.08252747e-01 1.99370208e-01
 2.24123035e-01 1.78710924e-01 2.18104611e-01 1.86357801e-01
 1.54786440e-01 2.04380798e-01 3.33247305e-01 2.97412845e-01
 1.40954398e-01 1.89394605e-01 1.27823860e-01 2.41471348e-01
 0.00000000e+00 9.11781024e-02 9.68154419e-02 3.14727143e-01
 2.08252747e-01 1.99370208e-01 2.24123035e-01 1.83390700e-01
 2.38128400e-01 6.36205568e-02 2.91961683e-01 1.81783882e-01
 1.94158275e-01 1.60075375e-01 1.74846534e-01 1.56041512e-01
 1.49875083e-01 1.66234320e-01 1.43679538e-01 3.50336087e-01
 2.60380083e-01 1.31981758e-01 1.45614740e-01 1.14503837e-01
 2.92023757e-01 9.11781024e-02 0.00000000e+00 6.36205568e-02
 2.91961683e-01 1.81783882e-01 1.94158275e-01 1.60075375e-01
 1.80366467e-01 1.72528222e-01 3.26680328e-01 2.20654898e-01
 2.29672924e-01 1.73650776e-01 1.92518897e-01 1.80410665e-01
 1.45587397e-01 1.76672026e-01 1.62997987e-01 3.62478916e-01
 3.22543673e-01 1.63067366e-01 1.66708727e-01 9.09263640e-02
 2.53859979e-01 9.68154419e-02 6.36205568e-02 2.22044605e-16
 3.26680328e-01 2.20654898e-01 2.29672924e-01 1.73650776e-01
 2.02264370e-01 1.88022274e-01 2.28986535e-01 7.52252810e-02
 1.60661275e-01 2.78287215e-01 2.91755513e-01 2.74871052e-01
 2.31930784e-01 2.73989263e-01 2.22681486e-01 1.73691087e-01
 3.13360851e-01 3.48303947e-01 2.82602211e-01 2.80312521e-01
 3.14727143e-01 2.91961683e-01 3.26680328e-01 0.00000000e+00
 2.28986535e-01 7.52252810e-02 1.60661275e-01 2.14990859e-01
 2.08295153e-01 1.62454304e-01 1.46328088e-01 1.26139494e-01
 1.50706783e-01 1.60016212e-01 1.06160364e-01 1.80466286e-01
 2.66229433e-01 2.01488647e-01 1.60346894e-01 2.05415474e-01
 2.02807289e-01 3.00292889e-01 2.08252747e-01 1.81783882e-01
 2.20654898e-01 2.28986535e-01 0.00000000e+00 1.62454304e-01
 1.46328088e-01 1.08393444e-01 1.40942043e-01 1.21773665e-01
 1.69178422e-01 1.99081677e-01 1.91195042e-01 1.43016054e-01
 2.26532688e-01 2.56206682e-01 2.10019352e-01 1.98570076e-01
 2.46344872e-01 2.08010205e-01 2.94835397e-01 1.99370208e-01
 1.94158275e-01 2.29672924e-01 7.52252810e-02 1.62454304e-01
 2.22044605e-16 1.21773665e-01 1.31143725e-01 1.61248581e-01
 1.93360989e-01 1.25902374e-01 1.25428122e-01 1.54461137e-01
 1.42444559e-01 2.54594483e-01 2.16412203e-01 2.20464573e-01
 2.02572300e-01 1.58448148e-01 3.03205415e-01 2.24123035e-01
 1.60075375e-01 1.73650776e-01 1.60661275e-01 1.46328088e-01
 1.21773665e-01 0.00000000e+00 1.71715220e-01 8.95233938e-02
 1.04382155e-01 9.87858003e-02 1.07214791e-01 1.89502850e-01
 3.35514560e-01 2.63773382e-01 1.29004835e-01 1.68174326e-01
 1.78848927e-01 3.30188842e-01 1.78710924e-01 1.74846534e-01
 1.92518897e-01 2.78287215e-01 1.26139494e-01 1.69178422e-01
 1.93360989e-01 2.44114001e-02 1.24103748e-01 8.90207540e-02
 1.36354061e-01 1.34842375e-01 3.35373829e-01 2.72639647e-01
 1.90522932e-01 1.59335368e-01 1.69753124e-01 3.51654561e-01
 2.18104611e-01 1.56041512e-01 1.80410665e-01 2.91755513e-01
 1.50706783e-01 1.99081677e-01 1.25902374e-01 1.12448437e-01
 4.18802140e-02 1.29605529e-01 1.36927059e-01 3.23431493e-01
 2.56479888e-01 1.73342823e-01 1.70027801e-01 1.19976668e-01
 3.18160213e-01 1.86357801e-01 1.49875083e-01 1.45587397e-01
 2.74871052e-01 1.60016212e-01 1.91195042e-01 1.25428122e-01
 1.09655402e-01 9.00267517e-02 1.03875391e-01 2.92436508e-01
 2.47133869e-01 1.38627116e-01 1.73908528e-01 1.64836345e-01
 2.87411700e-01 1.54786440e-01 1.66234320e-01 1.76672026e-01
 2.31930784e-01 1.06160364e-01 1.43016054e-01 1.54461137e-01
 1.08274780e-01 1.41829979e-01 3.54009742e-01 3.03774321e-01
 2.13852421e-01 1.40069253e-01 1.38554357e-01 3.21135176e-01
 2.04380798e-01 1.43679538e-01 1.62997987e-01 2.73989263e-01
 1.80466286e-01 2.26532688e-01 1.42444559e-01 1.96253969e-01
 1.36562320e-01 2.19957026e-01 3.64213137e-01 4.23516755e-01
 3.04246682e-01 2.39466331e-01 3.33247305e-01 3.50336087e-01
 3.62478916e-01 2.22681486e-01 2.66229433e-01 2.56206682e-01
 2.54594483e-01 2.75684727e-01 2.53106331e-01 2.29012024e-01
 3.25337273e-01 2.50772099e-01 2.84158866e-01 2.97412845e-01
 2.60380083e-01 3.22543673e-01 1.73691087e-01 2.01488647e-01
 2.10019352e-01 2.16412203e-01 2.14680194e-01 2.15803428e-01
 1.13054314e-01 1.24750813e-01 3.14530691e-01 1.40954398e-01
 1.31981758e-01 1.63067366e-01 3.13360851e-01 1.60346894e-01
 1.98570076e-01 2.20464573e-01 1.44872153e-01 2.20945779e-01
 1.27047299e-01 3.49099201e-01 1.89394605e-01 1.45614740e-01
 1.66708727e-01 3.48303947e-01 2.05415474e-01 2.46344872e-01
 2.02572300e-01 1.99895758e-01 2.07278605e-01 2.71751149e-01
 1.27823860e-01 1.14503837e-01 9.09263640e-02 2.82602211e-01
 2.02807289e-01 2.08010205e-01 1.58448148e-01 1.92422899e-01
 1.71037853e-01 2.41471348e-01 2.92023757e-01 2.53859979e-01
 2.80312521e-01 3.00292889e-01 2.94835397e-01 3.03205415e-01
 2.90864961e-01 3.10931825e-01 9.11781024e-02 9.68154419e-02
 3.14727143e-01 2.08252747e-01 1.99370208e-01 2.24123035e-01
 1.83390700e-01 2.38128400e-01 6.36205568e-02 2.91961683e-01
 1.81783882e-01 1.94158275e-01 1.60075375e-01 1.80366467e-01
 1.72528222e-01 3.26680328e-01 2.20654898e-01 2.29672924e-01
 1.73650776e-01 2.02264370e-01 1.88022274e-01 2.28986535e-01
 7.52252810e-02 1.60661275e-01 2.14990859e-01 2.08295153e-01
 1.62454304e-01 1.46328088e-01 1.08393444e-01 1.40942043e-01
 1.21773665e-01 1.31143725e-01 1.61248581e-01 1.71715220e-01
 8.95233938e-02 9.26896988e-02]",0.085029364,0.208409015
detente,"[0.5247418, 0.42004225, 0.42198145, 0.4274635, 0.44247323, 0.46418956, 0.43183443, 0.4470863, 0.4354973]","[7883.85791015625, 5066.11279296875, 3670.193115234375, 2803.67578125, 2064.214599609375]",[0.28219959 0.35636755 0.3125465  ... 0.31112303 0.38567679 0.41620287],0.107854859,0.284944825
ennui,"[0.4107592, 0.39206636, 0.39423466, 0.39672202, 0.40410534, 0.40125513, 0.39551166, 0.3915111, 0.38550454]","[6438.81640625, 4040.863037109375, 2884.54052734375, 2386.88427734375, 1932.6727294921875]",[0.31924831 0.14167746 0.44844252 ... 0.19562388 0.16421536 0.10998666],0.091819096,0.285643232
faux pas,"[0.5488279, 0.37253454, 0.35706297, 0.353271, 0.35689247, 0.385813, 0.38580707, 0.36604315, 0.36600107]","[5924.8427734375, 4124.72412109375, 3152.805419921875, 2591.641357421875, 2133.305908203125]",[0.32280247 0.2424799  0.29422039 ... 0.36261942 0.39074244 0.22795929],0.096437913,0.263419241
fete,"[0.44966632, 0.41730452, 0.40577412, 0.40612036, 0.43883112, 0.40987158, 0.37758383, 0.38070244, 0.3740796]","[4139.6005859375, 2774.6884765625, 2013.454345703125, 1556.85595703125, 1214.9859619140625]",[0.33961927 0.39986094 0.38628219 ... 0.40801799 0.32927893 0.40097728],0.086411479,0.330479528
